No urut	Diagnosis/Daftar Penyakit SKDI 2012	Tingkat kompetensi
207	Trauma aurikular	3B
208	Deviasi septum hidung	2
209	Furunkel pada hidung	4A
210	Rhinitis akut	4A
211	Rhinitis vasomotor	4A
212	Rhinitis alergika	4A
213	Rhinitis kronik	3A
214	Rhinitis medikamentosa	3A
215	Sinusitis	3A
216	Sinusitis frontal akut	2
217	Sinusitis maksilaris akut	2
218	Sinusitis kronik	3A
219	Benda asing	4A
220	Epistaksis	4A
221	Etmoiditis akut	1
222	Polip	2
223	Fistula dan kista brankial lateral dan medial	2
224	Higroma kistik	2
225	Tortikolis	3A
226	Influenza	4A
227	Pertusis	4A
228	Acute Respiratory distress syndrome (ARDS)	3B
229	SARS	3B
230	Flu burung Laring dan Faring	3B
231	Faringitis	4A
232	Tonsilitis	4A
233	Laringitis	4A
234	Hipertrofi adenoid	2
235	Abses peritonsilar	3A
236	Pseudo-croop acute epiglotitis	3A
237	Difteria (THT)	3B
238	Karsinoma laring	2
239	Karsinoma nasofaring Trakea	2
240	Trakeitis	2
241	Aspirasi	3B
242	Benda asing Paru	2
243	Asma bronkial	4A
244	Status asmatikus (asma akut berat)	3B
245	Bronkitis akut	4A
246	Bronkiolitis akut	3B
247	Bronkiektasis	3A
248	Displasia bronkopulmonar	1
249	Karsinoma paru	2
250	Pneumonia, bronkopneumonia	4A
251	Pneumonia aspirasi	3B
252	Tuberkulosis paru tanpa komplikasi	4A
253	Tuberkulosis dengan HIV	3A
254	Multi Drug Resistance (MDR) TB	2
255	Pneumothorax ventil	3A
256	Pneumothorax	3A
257	Efusi pleura	2
258	Efusi pleura masif	3B
259	Emfisema paru	3A
260	Atelektasis	2
261	Penyakit Paru Obstruksi Kronik (PPOK) eksaserbasi akut	3B
262	Edema paru	3B
263	Infark paru	1
264	Abses paru	3A
265	Emboli paru	1
266	Kistik fibrosis	1
267	Haematothorax	3B
268	Tumor mediastinum	2
269	Pnemokoniasis	2
270	Penyakit paru intersisial	1
271	Defect, Atrial Septal Defect, Patent Ductus Arteriosus, Tetralogy of Fallot) Radang pada dinding jantung (Endokarditis,	2
272	Miokarditis, Perikarditis)	2
273	Syok (septik, hipovolemik, kardiogenik, neurogenik)	3B
274	Angina pektoris	3B
275	Infark miokard	3B
276	Gagal jantung akut	3B
277	Gagal jantung kronik 8      Cardiorespiratory arrest                                         3b	3A
278	regurgitation, Aortic stenosis, Aortic regurgitation,dan	2
279	Takikardi: supraventrikular, ventrikular	3B
280	Fibrilasi atrial	3A
281	Fibrilasi ventrikular	3B
282	Atrial flutter	3B
283	Ekstrasistol supraventrikular, ventrikular	3A
284	Bundle Branch Block	2
285	Aritmia lainnya	2
286	Kardiomiopati	2
287	Kor pulmonale akut	3B
288	Kor pulmonale kronik	3A
289	Hipertensi esensial	4A
290	Hipertensi sekunder	3A
291	Hipertensi pulmoner	1
292	Penyakit Raynaud	2
293	Trombosis arteri	2
294	Koarktasio aorta	1
295	Penyakit Buerger's (Thromboangiitis Obliterans)	2
296	Emboli arteri	1
297	Aterosklerosis	1
298	Subclavian steal syndrome	1
299	Aneurisma Aorta	1
300	Aneurisma diseksi	1
301	Klaudikasio	2
302	Penyakit jantung reumatik Vena dan Pembuluh Limfe	2
303	Tromboflebitis	3A
304	Limfangitis	3A
305	Varises (primer, sekunder)	2
306	Obstructed venous return	2
307	Trombosis vena dalam	2
308	Emboli vena	2
309	Limfedema (primer, sekunder)	3A
310	Sumbing pada bibir dan palatum	2
311	Micrognatia and macrognatia	2
312	Kandidiasis mulut	4A
313	Ulkus mulut (aptosa, herpes)	4A
314	Glositis	3A
315	Leukoplakia	2
316	Angina Ludwig	3A
317	Parotitis	4A
318	Karies gigi Esofagus	3A
319	Atresia esofagus	2
320	Akalasia	2
321	Esofagitis refluks	3A
322	Lesi korosif pada esofagus	3B
323	Varises esofagus	2
324	Ruptur esofagus Dinding, Rongga Abdomen, dan Hernia Hernia (inguinalis, femoralis, skrotalis) reponibilis,	1
325	irreponibilis Hernia (inguinalis, femoralis, skrotalis) strangulata,	2
326	inkarserata	3B
327	Hernia (diaframatika, hiatus)	2
328	Hernia umbilikalis	3A
329	Peritonitis	3B
330	Perforasi usus	2
331	Malrotasi traktus gastro-intestinal	2
332	Infeksi pada umbilikus	4A
333	Sindrom Reye Lambung, Duodenum, Jejunum, Ileum	1
334	Gastritis	4A
335	Gastroenteritis (termasuk kolera, giardiasis)	4A
336	Refluks gastroesofagus	4A
337	Ulkus (gaster, duodenum)	3A
338	Stenosis pilorik	2
339	Atresia intestinal	2
340	Divertikulum Meckel	2
341	Fistula umbilikal, omphalocoele-gastroschisis	2
342	Apendisitis akut	3B
343	Abses apendiks	3B
344	Demam tifoid	4A
345	Perdarahan gastrointestinal	3B
346	Ileus	2
347	Malabsorbsi	3A
348	Intoleransi makanan	4A
349	Alergi makanan	4A
350	Keracunan makanan	4A
351	Botulisme Infestasi Cacing dan Lainnya	3B
352	Penyakit cacing tambang	4A
353	Strongiloidiasis	4A
354	Askariasis	4A
355	Skistosomiasis	4A
356	Taeniasis	4A
357	Pes Hepar	1
358	Hepatitis A	4A
359	Hepatitis B	3A
360	Hepatitis C	2
361	Abses hepar amoeba	3A
362	Perlemakan hepar	3A
363	Sirosis hepatis	2
364	Gagal hepar	2
365	Neoplasma hepar Kandung Empedu, Saluran Empedu, dan Pankreas	2
366	Kolesistitis	3B
367	Kole(doko)litiasis	2
368	Empiema dan hidrops kandung empedu	2
369	Atresia biliaris	2
370	Pankreatitis	2
371	Karsinoma pankreas Kolon	2
372	Divertikulosis/divertikulitis	3A
373	Kolitis	3A
374	Disentri basiler, disentri amuba	4A
375	Penyakit Crohn	1
376	Kolitis ulseratif	1
377	Irritable Bowel Syndrome	3A
378	Polip/adenoma	2
379	Karsinoma kolon	2
380	Penyakit Hirschsprung	2
381	Enterokolitis nekrotik	1
382	Intususepsi atau invaginasi	3B
383	Atresia anus	2
384	Proktitis	3A
385	Abses (peri)anal	3A
386	Hemoroid grade 1-2	4A
387	Hemoroid grade 3-4	3A
388	Fistula	2
389	Fisura anus	2
390	Prolaps rektum, anus Neoplasma Gastrointestinal	3A
391	Limfoma	2
392	Infeksi saluran kemih	4A
393	Glomerulonefritis akut	3A
394	Glomerulonefritis kronik	3A
395	Gonore	4A
396	Karsinoma sel renal	2
397	Tumor Wilms	2
398	Acute kidney injury	2
399	Penyakit ginjal kronik	2
400	Sindrom nefrotik	2
401	Kolik renal Batu saluran kemih (vesika urinaria, ureter, uretra )	3A
402	tanpa kolik	3A
403	Ginjal polikistik simtomatik	2
404	Ginjal tapal kuda	1
405	Pielonefritis tanpa komplikasi	4A
406	Nekrosis tubular akut Alat Kelamin Pria	2
407	Hipospadia	2
408	Epispadia	2
409	Testis tidak turun/ kriptorkidismus	2
410	Rectratile testis	2
411	Varikokel	2
412	Hidrokel	2
413	Fimosis	4A
414	Parafimosis	4A
415	Spermatokel	2
416	Epididimitis	2
417	Prostatitis	3A
418	Torsio testis	3B
419	Ruptur uretra	3B
420	Ruptur kandung kencing	3B
421	Ruptur ginjal	3B
422	Karsinoma uroterial	2
423	Seminoma testis	1
424	Teratoma testis	1
425	Hiperplasia prostat jinak	2
426	Karsinoma prostat	2
427	Striktura uretra	2
428	Priapismus	3B
429	Sifilis	3A
